EpiOrStroma,Mean.Layer.1,Mean.Layer.2,Mean.Layer.3,Standard.deviation.Layer.1,Standard.deviation.Layer.2,Standard.deviation.Layer.3,Skewness.Layer.1,Skewness.Layer.2,Skewness.Layer.3,Ratio.Layer.1,Ratio.Layer.2,Ratio.Layer.3,Min..pixel.value.Layer.1,Min..pixel.value.Layer.2,Min..pixel.value.Layer.3,Max..pixel.value.Layer.1,Max..pixel.value.Layer.2,Max..pixel.value.Layer.3,Mean.of.inner.border.Layer.1,Mean.of.inner.border.Layer.2,Mean.of.inner.border.Layer.3,Mean.of.outer.border.Layer.1,Mean.of.outer.border.Layer.2,Mean.of.outer.border.Layer.3,Border.Contrast.Layer.1,Border.Contrast.Layer.2,Border.Contrast.Layer.3,Contrast.to.neighbor.pixels.Layer.1..3.,Contrast.to.neighbor.pixels.Layer.2..3.,Contrast.to.neighbor.pixels.Layer.3..3.,Edge.Contrast.of.neighbor.pixels..Prototype..Layer.1..3.,Edge.Contrast.of.neighbor.pixels..Prototype..Layer.2..3.,Edge.Contrast.of.neighbor.pixels..Prototype..Layer.3..3.,StdDev..to.neighbor.pixels.Layer.1..3.,StdDev..to.neighbor.pixels.Layer.2..3.,StdDev..to.neighbor.pixels.Layer.3..3.,Circular.Mean.Layer.1..R1..User..3..R2..Same...R1...border.,Circular.Mean.Layer.2..R1..User..3..R2..Same...R1...border.,Circular.Mean.Layer.3..R1..User..3..R2..Same...R1...border.,Circular.StdDev.Layer.1..R1..User..3..R2..Same...R1...border.,Circular.StdDev.Layer.2..R1..User..3..R2..Same...R1...border.,Circular.StdDev.Layer.3..R1..User..3..R2..Same...R1...border.,Circular.StdDev.Mean.Layer.1..R1..User..3..R2..Same...R1...border.,Circular.StdDev.Mean.Layer.2..R1..User..3..R2..Same...R1...border.,Circular.StdDev.Mean.Layer.3..R1..User..3..R2..Same...R1...border.,Mean.Diff..to.neighbors.Layer.1..0.,Mean.Diff..to.neighbors.Layer.2..0.,Mean.Diff..to.neighbors.Layer.3..0.,Mean.Diff..to.neighbors..abs..Layer.1..0.,Mean.Diff..to.neighbors..abs..Layer.2..0.,Mean.Diff..to.neighbors..abs..Layer.3..0.,Rel..border.to.brighter.objects.Layer.1,Rel..border.to.brighter.objects.Layer.2,Rel..border.to.brighter.objects.Layer.3,Mean.diff..to.scene.Layer.1,Mean.diff..to.scene.Layer.2,Mean.diff..to.scene.Layer.3,Ratio.to.scene.Layer.1,Ratio.to.scene.Layer.2,Ratio.to.scene.Layer.3,HSI.Transformation.Hue.R.Layer.1.G.Layer.2.B.Layer.3.,Area..Pxl.,Border.length..Pxl.,Length..mu_m.,Length.Width,Number.of.pixels,Rel..Border.to.Image.Border,Volume..Pxl.,Width..mu_m.,Asymmetry,Border.index,Compactness,Density,Elliptic.Fit,Radius.of.largest.enclosed.ellipse,Radius.of.smallest.enclosing.ellipse,Rectangular.Fit,Roundness,Shape.index,Area..excluding.inner.polygons...Pxl.,Area..including.inner.polygons...Pxl.,Average.length.of.edges..polygon...Pxl.,Compactness..polygon.,Length.of.longest.edge..polygon...Pxl.,Number.of.edges..polygon.,Number.of.inner.objects..polygon.,Perimeter..polygon...Pxl.,Stddev.of.length.of.edges..polygon...Pxl.,Mean.of.sub.objects..stddev.Layer.1..1.,Area.of.sub.objects..mean..1...Pxl.,Area.of.sub.objects..stddev..1...Pxl.,Density.of.sub.objects..mean..1.,Density.of.sub.objects..stddev..1.,Asymmetry.of.sub.objects..mean..1.,Asymmetry.of.sub.objects..stddev..1.,Direction.of.sub.objects..mean..1.,Direction.of.sub.objects..stddev..1.,GLCM.Homogeneity..quick.8.11..Layer.1..all.dir..,GLCM.Contrast..quick.8.11..Layer.1..all.dir..,GLCM.Dissimilarity..quick.8.11..Layer.1..all.dir..,GLCM.Entropy..quick.8.11..Layer.1..all.dir..,GLCM.Ang..2nd.moment..quick.8.11..Layer.1..all.dir..,GLCM.Mean..quick.8.11..Layer.1..all.dir..,GLCM.StdDev..quick.8.11..Layer.1..all.dir..,GLCM.Correlation..quick.8.11..Layer.1..all.dir..,Number.of.sub.objects.Nucleus..1.,Number.of.sub.objects.Dark..1.,Area.of.sub.objects.Nucleus..1...Pxl.,Area.of.sub.objects.Dark..1...Pxl.,Rel..area.of.sub.objects.Nucleus..1.,Rel..area.of.sub.objects.Dark..1.,Rel..area.of.sub.objects.unclassified..1.
1,146.46962525,88.369033531,197.89428008,53.299394075,51.548687348,40.369397216,-0.42813831232,0.098427866284,-0.8249414252,0.33847579441,0.20421147917,0.45731272642,0,0,30,255,231,255,175.82930757,114.568438,209.49275362,211.176,150.5824,238.0304,-32.412878788,-32.968434343,-26.767676768,-485.44899413,-629.41339953,-171.30146771,117.9794038,89.206712339,63.957158208,31.821714299,48.041170087,23.618081748,126.5,33.6875,188.9375,24.313062333,23.934072862,20.513619713,0.19219812121,0.71047340591,0.1085735744,-66.088445249,-59.441134915,-35.085174254,66.088445249,59.441134915,35.085174254,1,1,1,-54.739632781,-66.629278378,-30.577496418,0.72794674898,0.5701290062,0.86616510412,0.75507945055,5070,792,155903239.88,2.4632704008,5070,0,5070,63291159.524,0.80660910795,2.5063291139,1.9462123917,1.6502837618,0.52110453649,0.28410847129,1.7039623111,0.77037985695,1.4198538398,2.7807452919,5060.5,5060.5,6.7843380547,0.13543558151,24.738633754,101,0,685.21814352,4.1632300839,42.155764482,230.45454545,134.48275566,1.6125821445,0.34799307076,0.63272528834,0.21886996369,72.773184008,30.97862862,0.049092287425,921.15289986,22.289667347,9.5440982359,9.515243316e-05,147.65480354,53.708972347,0.91669820015,9,11,2497,1888,0.49250493097,0.37238658777,0.13510848126
1,159.53390743,97.841496233,178.66980624,47.703308959,49.4727574,38.921358335,-0.54710975777,-0.094261415162,-0.42995622095,0.36586551991,0.22438383454,0.40975064554,6,0,37,255,234,255,174.41723356,121.33862434,189.11942555,208.99623777,158.54176072,221.6275395,-32.107347876,-33.796785304,-30.431113662,-168.69351235,-395.09691551,-129.96587253,100.38601542,111.63319801,80.984648007,51.62075019,59.50806805,42.440920781,117.5625,45.75,132,39.322335812,35.184336003,27.497727179,0.33448026209,0.76905652466,0.20831611499,-44.879298106,-58.277522527,-36.567791717,46.197029089,59.164683635,37.234770889,0.96727898967,0.96727898967,0.96727898967,-35.329162657,-56.690700625,-28.872247047,0.81869749542,0.63314634893,0.86088483472,0.79387541978,7432,1742,336105333.34,4.2528243851,7432,0,7432,79031086.851,0.95621431027,3.9590909091,3.5741078835,0.93056929389,0,0.094901128516,2.2769635228,0.44010459544,2.1820623943,5.0516739118,7458,7458,6.2828025621,0.043359163519,24.515301344,234,0,1470.1757995,3.9585707092,35.354846568,247.73333333,200.03748538,1.5011738899,0.32797920591,0.69181831294,0.21432753359,76.267175666,34.963827568,0.043892525003,981.21012038,22.955088724,9.6272590216,8.7327889162e-05,161.06566517,48.813228164,0.89112273097,6,22,1694,4087,0.22793326157,0.54991926803,0.2221474704
0,203.71346898,130.61896755,218.60568354,38.668988776,47.160806626,29.868503718,-1.1337714552,-0.2635171856,-1.0008544545,0.36842001227,0.23622709813,0.3953528896,34,0,76,255,243,255,204.08723958,146.64583333,218.01432292,230.48421053,180.88815789,240.93684211,-23.981677917,-29.239151398,-21.085824494,-5.9964255156,-228.4088734,-29.556879639,89.61105942,130.29744177,65.47721813,52.06446614,70.565255928,36.045180706,213.5625,129.625,230.8125,22.093462693,21.20694167,19.401091303,0.10345197632,0.16360225011,0.084055635215,-21.586758841,-61.279708738,-17.663606931,21.586758841,61.279708738,17.663606931,1,1,1,-6.0284057778,-17.710245909,-7.449553115,0.97125797705,0.88060176754,0.96704543002,0.8051241232,5947,1048,317518797.69,6.0563357777,5947,0.010496183206,5947,52427541.89,0.97529740659,2.3603603604,2.7991811109,0.92507675291,0.32705565832,0.25388746377,2.1681581614,0.65901410609,1.9142706977,3.3974441179,5958.5,5958.5,7.0428912616,0.099775016858,19.02629759,123,0,866.27562518,4.2415924257,25.407995636,660.77777778,1143.4220352,1.403175667,0.38899521918,0.78390609665,0.15244877724,124.75904916,14.49465371,0.066735755651,486.78461458,16.284249878,8.8610835948,0.00031883233275,203.97718143,38.74821234,0.91536460323,1,6,385,1268,0.064738523625,0.21321674794,0.72204472843
1,140.70937303,96.607674565,188.26714196,45.876865268,47.192549282,39.964698359,-0.28810229517,0.0064620442097,-0.55826136611,0.33062641068,0.22700014929,0.44237344003,4,0,40,255,244,255,144.18592058,100.66064982,181.5866426,189.85920578,147.48375451,221.17509025,-42.155913978,-42.923387097,-37.552419355,-425.79786569,-721.17829018,-174.47113678,127.46185936,133.98658568,86.269976196,49.776426241,55.473152962,37.202592004,171.625,118.8125,207.125,24.261273153,25.754171385,21.782662257,0.14136211597,0.21676314685,0.10516674596,-59.606952833,-66.437180571,-31.850336942,59.606952833,66.437180571,32.179062096,1,1,0.91532258065,-64.440412722,-74.487913743,-34.639834499,0.68588603452,0.56464152887,0.84459959464,0.74685787099,4769,744,111355123.07,1.0476233368,4769,0,4769,106293091.38,0.066971795743,2.6762589928,2.4819207951,1.9640584407,0.4409729503,0.16751708242,1.7575962997,0.68324572007,1.5900792173,2.693390246,4751.5,4751.5,6.7260473504,0.15937682235,20.880613018,91,0,612.07030889,3.6896041954,32.475519572,298.0625,143.43442262,1.6268296212,0.37263195817,0.62330955319,0.23936361922,7.1919459956,44.624467268,0.03645679063,1235.8537101,26.399640651,9.5523525406,9.0563572456e-05,142.40195036,46.453273837,0.84477523892,6,10,2502,2267,0.52463828895,0.47536171105,0
1,184.01815541,53.481481481,195.2641007,52.230555211,38.731772041,32.780003861,-0.89103436283,0.71322789477,-0.29236283461,0.42521620789,0.123581245,0.45120254712,6,0,74,255,211,255,189.90766445,70.776101388,203.63548582,209.17657551,96.284780024,223.14447087,-17.563386944,-22.016083254,-17.666035951,-20.35681804,-685.46768583,-86.533830614,85.777140692,94.868386785,63.593639141,50.109887638,57.184827977,35.079750309,167.1875,73.125,205.3125,48.550513321,48.588675378,48.134861003,0.2903955937,0.66446051799,0.23444681158,-20.933149589,-62.135622654,-26.329281615,28.885009174,63.81983733,27.510750822,0.72280037843,0.97776726585,0.97776726585,-19.209307159,-61.61482959,-24.39838206,0.90547878266,0.46466720769,0.8889278599,0.82011362964,8262,2114,540373953.44,4.4428652273,8262,0,8262,121627356.62,0.93995045223,4.4788135593,7.9550055126,0.58932285143,0,0.0035928995271,3.8663083231,0.14536529263,3.8627154236,5.8143664051,8200.5,8200.5,7.6277006703,0.030748761013,34.234485537,240,0,1830.6481609,5.7596067815,39.665085387,486,834.91197141,1.4216798463,0.32756484022,0.7789340972,0.2240198541,177.23226547,29.785109419,0.065526398959,674.0056016,18.309667628,9.2962976176,0.00022185187655,184.49430543,52.421485663,0.9366775671,3,10,747,2070,0.090413943355,0.25054466231,0.65904139434
0,200.2547509,135.62232494,215.18952234,25.013397987,33.916361998,21.357295859,-0.28204352408,1.0567577875,-0.40150660303,0.36339482661,0.24610877413,0.39049639926,83,33,92,255,255,255,194.10875332,129.57692308,212.78514589,176.24967148,110.83968463,196.3088042,16.714285714,17.283673469,15.702040816,99.553512329,161.87511489,72.043648277,67.540192322,81.86928904,52.32086604,43.094956802,49.023760468,34.451939121,204.4375,131.625,216.9375,9.5522821226,9.9490891543,9.8961403461,0.046724706194,0.075586622255,0.045617472065,32.131571014,32.885644736,21.84696572,34.717819758,35.181023187,22.890573222,0.12142857143,0.12142857143,0.12142857143,19.841659882,4.9524483191,11.7277488,1.1099790474,1.0379004591,1.0576410428,0.80204998221,5841,980,214593405.14,2.6603611167,5841,0,5841,80663261.761,0.82373092395,2.8488372093,2.9635000874,1.4983113497,0.37442218798,0.45330672928,1.7803611901,0.65735478492,1.3270544608,3.2056970772,5887.5,5887.5,6.1626862597,0.10531980389,18.439088915,136,0,838.12533132,3.6706004522,15.061485222,973.5,1652.3060401,1.7424475243,0.13219165081,0.51947154498,0.21295226507,142.14702063,19.637402779,0.08532021338,325.21265813,12.314455151,8.4521765056,0.00033523109089,199.30508453,25.894115335,0.87033721947,1,3,508,404,0.086971409005,0.069166238658,0.84386235234
1,136.46910385,79.87984471,181.92811388,47.337948125,47.53982061,40.063108688,-0.1427301142,0.42985845366,-0.36797806025,0.34264866526,0.20056350778,0.45678782696,0,0,30,255,247,255,149.30479896,98.907911803,183.71076524,188.04277382,139.39598185,217.87815943,-35.687187187,-36.816316316,-32.205705706,-243.246208,-500.02419781,-115.8378432,95.737552752,103.26175862,72.698838434,53.500018652,62.567967342,39.943688962,161.1875,97.6875,194.1875,16.700369569,17.733156621,17.256226231,0.10360834165,0.18152943438,0.088863733409,-51.16771,-62.038459024,-32.422399566,51.175716905,62.038459024,32.464660234,0.99049049049,1,0.99049049049,-43.082552228,-45.726782063,-22.637167593,0.7600548323,0.63595247132,0.88934012932,0.7590890396,15455,1998,348000113.62,2.6737600223,15455,0,15455,130153832.33,0.84590332853,3.5551601423,2.9306728203,1.2659643578,0.035263668716,0.1702706274,1.8953439694,0.49116556954,1.725073342,4.0179172478,15371,15371,6.4565011661,0.066480894862,22.090722034,264,0,1704.5163078,3.7451050287,36.068710883,275.98214286,189.64200212,1.6535173478,0.31336738397,0.57428209309,0.24330725168,111.31249856,44.626236797,0.040407941119,1087.3160233,24.550826302,9.8611254297,7.0333166429e-05,137.77573854,48.116722126,0.87474608878,14,39,4138,10533,0.26774506632,0.68152701391,0.050727919767
0,192.31913747,150.87520216,212.75876011,43.133479724,51.518999763,34.707818123,-0.61517471418,-0.066616010845,-0.85595150779,0.34592690923,0.27138116908,0.38269192169,7,0,41,255,253,255,178.94453125,130.803125,205.76953125,145.76360809,95.248833593,176.70217729,30.379041916,32.049700599,27.322754491,247.83472282,404.27843969,143.8616701,95.584553219,120.16939806,69.084273069,50.813681807,56.769224434,39.039480731,121.0625,61.5,159.25,32.894659046,33.181320046,26.442153846,0.27171633698,0.53953365929,0.16604178239,51.561736628,64.112583417,33.612689109,51.740736888,64.112583417,33.612689109,0.12874251497,0,0,19.261920908,22.732848433,15.872232823,1.1113037716,1.1774030816,1.080616145,0.77828472452,7420,1670,207551994.63,1.6557147387,7420,0,7420,125354923.64,0.64489758744,4.691011236,3.5064237788,1.2913035186,0,0.0016440822375,2.109429935,0.33994017389,2.1077858528,4.846793616,7449,7449,6.2509470626,0.046082251905,25,228,0,1425.2159303,3.875286357,32.847131494,742,1197.1029196,1.4470402068,0.36848563646,0.628789916,0.2755108926,104.14349594,43.687608144,0.05990198505,897.29464507,21.843803901,9.2566476261,0.00039276640642,189.57743766,44.451807524,0.87917435864,1,7,364,876,0.049056603774,0.11805929919,0.83288409704
1,235.80291262,163.68576052,238.05631068,15.001391238,20.202421219,13.104857198,-1.1089587764,0.25359469359,-0.73118886758,0.36986082332,0.2567438607,0.37339531597,136,84,181,255,228,255,229.425,173.634375,236.953125,232.86280488,179.36280488,239.89939024,-2.8301886792,-4.3325471698,-2.4009433962,113.56079083,33.695489492,59.785401178,66.089905601,90.655250913,51.989406308,56.475438552,59.393486638,38.337617642,246.0625,152.25,239.9375,6.5714225058,5.25,6.2095566468,0.026706314476,0.034482758621,0.02587989225,36.265589389,25.699342838,18.194955368,36.265589389,25.699342838,18.194955368,0,0,0,31.61549758,14.390236237,14.220146623,1.1548356816,1.096387593,1.0635292634,0.82828339969,3090,424,93464024.43,1.4291375002,3090,0,3090,65398902.777,0.53314051808,1.8596491228,1.9781374262,2.0603969915,0.64854368932,0.36261588818,1.4155983735,0.82087054061,1.0529824853,1.9068943218,3075.5,3075.5,6.006334485,0.29757144801,24.186773245,60,0,360.3800691,3.9690257595,0,3090,0,2.0603969915,0,0.53314051808,0,164.10932514,0,0.13789806946,120.5206131,7.7480950854,7.2649756771,0.0014482298559,235.37061735,15.311788781,0.86195855344,0,0,0,0,0,0,1
0,207.76838419,170.23111556,219.63374544,39.081722071,47.59917492,34.657281069,-1.0946541202,-0.72544955283,-1.2997527652,0.34765198533,0.28484211166,0.36750590301,17,0,32,255,255,255,210.86558627,166.92183031,227.57006673,166.82079208,119.55049505,188.24059406,40.914454277,42.994100295,37.316371681,187.83342152,292.66812916,107.2863601,95.612048401,130.46419761,72.59994076,57.826747555,73.359261602,44.772445203,189.8125,152.875,205.375,39.965952306,42.433587817,36.818600938,0.21055490184,0.27757048449,0.17927498935,54.24710363,74.8747138,34.062769337,54.290789279,74.8747138,34.118256488,0.0044247787611,0,0.0044247787611,17.927970973,20.817187268,10.309415263,1.0944370625,1.1393256138,1.0492509172,0.79330388119,13993,1400,242512066.26,1.8487944599,13993,0.031428571429,13993,131173081.44,0.74269483368,2.8225806452,2.273354893,1.5812636846,0.30636746945,0.24656282051,1.9638618227,0.66570190279,1.7172990022,2.958779679,13963.5,13963.5,6.1417002275,0.12751092031,44,191,0,1173.0647435,4.4588103194,22.054242318,1399.3,3712.6455271,1.5824230083,0.23231182134,0.63865918789,0.1722166411,46.835058309,26.180561348,0.061066222818,944.00235595,22.035892665,9.0850990894,0.00047450932573,206.09881046,39.590691932,0.83598326726,3,6,621,837,0.044379332523,0.059815622097,0.89580504538
